Instance;Alpha;Seed;SI;SF;Gap(%);Time(s)
dln_grande.ins;0.1;1;61;58;4.9180;300.0003
dln_grande.ins;0.1;2;60;59;1.6666;300.0012
dln_grande.ins;0.1;3;61;58;4.9180;300.0014
dln_grande.ins;0.1;4;61;58;4.9180;300.001
dln_grande.ins;0.1;5;63;59;6.3492;300.0018
dln_medio.ins;0.1;1;34;32;5.8823;300.0015
dln_medio.ins;0.1;2;34;32;5.8823;300.0015
dln_medio.ins;0.1;3;33;32;3.0303;300.0003
dln_medio.ins;0.1;4;33;32;3.0303;300.0004
dln_medio.ins;0.1;5;33;32;3.0303;300.0002
dln_pequeno.ins;0.1;1;22;21;4.5454;300.0
dln_pequeno.ins;0.1;2;22;21;4.5454;300.0009
dln_pequeno.ins;0.1;3;22;21;4.5454;300.0016
dln_pequeno.ins;0.1;4;22;21;4.5454;300.0002
dln_pequeno.ins;0.1;5;23;21;8.6956;300.0
dln_grande.ins;0.3;1;61;56;8.1967;300.001
dln_grande.ins;0.3;2;60;56;6.6666;300.0015
dln_grande.ins;0.3;3;61;56;8.1967;300.0012
dln_grande.ins;0.3;4;60;56;6.6666;300.0012
dln_grande.ins;0.3;5;63;56;11.1111;300.0015
dln_medio.ins;0.3;1;34;32;5.8823;300.0004
dln_medio.ins;0.3;2;34;31;8.8235;300.0001
dln_medio.ins;0.3;3;34;32;5.8823;300.0005
dln_medio.ins;0.3;4;34;31;8.8235;300.0016
dln_medio.ins;0.3;5;34;32;5.8823;300.0002
dln_pequeno.ins;0.3;1;23;20;13.0434;300.0
dln_pequeno.ins;0.3;2;22;20;9.0909;300.0
dln_pequeno.ins;0.3;3;23;20;13.0434;300.0002
dln_pequeno.ins;0.3;4;23;20;13.0434;300.0001
dln_pequeno.ins;0.3;5;22;20;9.0909;300.0
dln_grande.ins;0.5;1;58;52;10.3448;300.0062
dln_grande.ins;0.5;2;58;52;10.3448;300.0022
dln_grande.ins;0.5;3;58;53;8.6206;300.0055
dln_grande.ins;0.5;4;57;52;8.7719;300.0009
dln_grande.ins;0.5;5;60;52;13.3333;300.0004
dln_medio.ins;0.5;1;33;29;12.1212;300.0001
dln_medio.ins;0.5;2;32;30;6.2500;300.0014
dln_medio.ins;0.5;3;32;30;6.2500;300.0001
dln_medio.ins;0.5;4;33;30;9.0909;300.0002
dln_medio.ins;0.5;5;33;29;12.1212;300.0001
dln_pequeno.ins;0.5;1;23;20;13.0434;300.0002
dln_pequeno.ins;0.5;2;21;20;4.7619;300.0009
dln_pequeno.ins;0.5;3;22;20;9.0909;300.0002
dln_pequeno.ins;0.5;4;23;20;13.0434;300.0002
dln_pequeno.ins;0.5;5;22;20;9.0909;300.0002
dln_grande.ins;0.7;1;55;50;9.0909;300.0007
dln_grande.ins;0.7;2;55;50;9.0909;300.0013
dln_grande.ins;0.7;3;54;50;7.4074;300.0004
dln_grande.ins;0.7;4;54;50;7.4074;300.001
dln_grande.ins;0.7;5;56;50;10.7142;300.0004
dln_medio.ins;0.7;1;31;28;9.6774;300.0004
dln_medio.ins;0.7;2;31;28;9.6774;300.0005
dln_medio.ins;0.7;3;31;28;9.6774;300.0004
dln_medio.ins;0.7;4;31;28;9.6774;300.0003
dln_medio.ins;0.7;5;31;28;9.6774;300.0
dln_pequeno.ins;0.7;1;23;20;13.0434;300.0002
dln_pequeno.ins;0.7;2;23;20;13.0434;300.001
dln_pequeno.ins;0.7;3;23;20;13.0434;300.0001
dln_pequeno.ins;0.7;4;22;20;9.0909;300.0001
dln_pequeno.ins;0.7;5;22;20;9.0909;300.0002
dln_grande.ins;0.9;1;54;49;9.2592;300.0014
dln_grande.ins;0.9;2;56;50;10.7142;300.0015
dln_grande.ins;0.9;3;54;49;9.2592;300.001
dln_grande.ins;0.9;4;54;49;9.2592;300.0
dln_grande.ins;0.9;5;56;49;12.5000;300.0017
dln_medio.ins;0.9;1;30;28;6.6666;300.0002
dln_medio.ins;0.9;2;31;28;9.6774;300.0
dln_medio.ins;0.9;3;30;28;6.6666;300.0005
dln_medio.ins;0.9;4;30;28;6.6666;300.0006
dln_medio.ins;0.9;5;31;28;9.6774;300.0004
dln_pequeno.ins;0.9;1;22;20;9.0909;300.0
dln_pequeno.ins;0.9;2;22;20;9.0909;300.0001
dln_pequeno.ins;0.9;3;23;20;13.0434;300.0001
dln_pequeno.ins;0.9;4;23;20;13.0434;300.0
dln_pequeno.ins;0.9;5;23;20;13.0434;300.0001
