Instance;Alpha;Avg_SI;Avg_SF;Avg_Gap;Avg_Time
dln_grande;0;46,00;46,00;0;300,0003
dln_medio;0;27,00;27,00;0;300,0000
dln_pequeno;0;22,00;22,00;0;300,0000
dln_grande;0,1;46,60;45,00;3,42;300,0003
dln_medio;0,1;26,80;26,00;2,96;300,0000
dln_pequeno;0,1;22,00;21,00;4,54;300,0000
dln_grande;0,3;47,80;45,60;4,60;300,0020
dln_medio;0,3;27,80;26,00;6,45;300,0000
dln_pequeno;0,3;22,20;20,00;9,88;300,0000
dln_grande;0,5;49,60;47,00;5,23;300,0003
dln_medio;0,5;29,20;27,00;7,47;300,0000
dln_pequeno;0,5;22,40;20,00;10,67;300,0000
dln_grande;0,7;51,20;48,00;6,20;300,0003
dln_medio;0,7;30,00;27,00;9,88;300,0001
dln_pequeno;0,7;22,60;20,00;11,46;300,0001
dln_grande;0,9;53,20;49,00;7,88;300,0002
dln_medio;0,9;31,00;27,60;10,89;300,0001
dln_pequeno;0,9;22,00;20,00;9,09;300,0006
dln_grande;1;55,60;49,40;11,14;300,0006
dln_medio;1;31,80;28,00;11,90;300,0001
dln_pequeno;1;23,00;20,00;13,04;300,0000
